ID,survived,fare,age,alive,parch,adult_male,gender
620,1,211.3375,43.0,yes,1,False,female
353,1,26.25,45.0,yes,1,False,female
607,0,7.125,41.0,no,0,True,male
551,0,13.5,52.0,no,0,True,male
467,0,7.125,35.0,no,0,True,male
391,0,7.25,21.0,no,0,True,male
133,1,20.525,9.0,yes,2,False,male
558,0,7.7417,25.0,no,0,True,male
614,0,9.5,24.0,no,0,True,male
152,0,13.0,19.0,no,0,True,male
556,1,26.2875,35.0,yes,0,True,male
339,0,14.4,28.0,no,1,False,female
143,0,13.0,30.0,no,0,True,male
109,0,53.1,37.0,no,0,True,male
563,1,151.55,22.0,yes,0,False,female
389,0,8.05,30.0,no,0,True,male
62,1,9.5,29.0,yes,0,True,male
252,1,7.8542,26.0,yes,0,False,female
289,0,27.7208,29.0,no,0,True,male
244,1,108.9,17.0,yes,0,False,female
215,1,7.775,25.0,yes,0,True,male
314,0,7.925,28.0,no,0,True,male
74,0,34.6542,71.0,no,0,True,male
670,0,10.5,16.0,no,0,True,male
449,0,21.075,29.0,no,4,False,female
382,1,12.2875,2.0,yes,1,False,female
68,0,8.05,24.0,no,0,True,male
702,1,83.1583,56.0,yes,1,False,female
187,0,13.5,59.0,no,0,True,male
554,0,7.65,42.0,no,0,True,male
697,0,9.0,47.0,no,0,True,male
568,0,7.65,19.0,no,0,True,male
400,0,9.5875,37.0,no,0,False,female
479,1,30.5,27.0,yes,0,True,male
328,0,7.75,51.0,no,0,True,male
537,1,512.3292,36.0,yes,1,True,male
431,1,26.0,32.0,yes,0,True,male
398,0,8.6625,17.0,no,0,True,male
117,1,7.7958,27.0,yes,0,True,male
132,0,39.6875,1.0,no,1,False,male
211,0,79.65,52.0,no,1,True,male
28,0,52.0,42.0,no,0,True,male
595,0,53.1,19.0,no,0,True,male
234,1,78.85,26.0,yes,0,False,female
44,1,27.75,5.0,yes,2,False,female
131,0,8.6625,17.0,no,0,True,male
31,1,11.2417,14.0,yes,0,False,female
340,0,20.2125,18.0,no,1,True,male
115,0,11.5,18.0,no,0,True,male
265,1,57.9792,16.0,yes,1,False,female
251,0,26.25,43.0,no,1,True,male
392,0,30.5,55.0,no,0,True,male
359,1,26.55,34.0,yes,0,True,male
240,0,151.55,2.0,no,2,False,female
711,1,30.0,26.0,yes,0,True,male
122,1,66.6,22.0,yes,0,False,female
217,1,135.6333,35.0,yes,0,False,female
579,0,26.0,25.0,no,0,True,male
577,0,8.6625,20.0,no,0,True,male
29,0,8.05,21.0,no,0,True,male
130,0,7.775,26.0,no,0,True,male
515,0,8.4333,21.0,no,0,True,male
518,0,15.5,32.0,no,1,False,female
138,1,11.1333,1.0,yes,1,False,female
636,0,24.15,30.0,no,1,False,female
461,0,26.0,54.0,no,0,True,male
672,0,6.4375,34.5,no,0,True,male
578,1,21.0,30.0,yes,0,False,female
428,1,71.0,36.0,yes,2,False,female
52,0,8.6625,26.0,no,0,True,male
41,0,61.9792,65.0,no,1,True,male
430,0,31.275,11.0,no,2,False,female
429,0,31.275,9.0,no,2,False,female
324,0,9.825,21.0,no,0,False,female
205,0,20.2125,41.0,no,2,False,female
685,1,19.2583,24.0,yes,3,False,female
212,0,0.0,40.0,no,0,True,male
17,0,18.0,31.0,no,0,False,female
9,1,30.0708,14.0,yes,0,False,female
420,0,11.5,23.0,no,1,True,male
687,0,11.5,21.0,no,0,True,male
522,0,7.225,40.0,no,0,True,male
441,0,26.55,62.0,no,0,True,male
470,0,26.0,37.0,no,0,True,male
270,1,134.5,41.0,yes,0,False,female
686,0,14.1083,41.0,no,0,True,male
471,0,24.15,36.0,no,1,True,male
356,1,13.0,28.0,yes,0,False,female
239,0,7.2292,23.5,no,0,True,male
418,1,10.5,50.0,yes,0,False,female
594,1,13.0,30.0,yes,0,False,female
708,0,29.125,39.0,no,5,False,female
465,1,79.2,60.0,yes,1,True,male
458,1,7.925,32.0,yes,0,True,male
703,1,26.0,25.0,yes,1,False,female
225,0,7.75,65.0,no,0,True,male
236,0,12.875,36.0,no,0,True,male
80,0,8.6542,33.0,no,0,True,male
355,0,7.775,25.0,no,0,True,male
347,0,55.9,50.0,no,0,True,male
87,0,8.05,22.0,no,0,True,male
564,1,49.5042,24.0,yes,0,False,female
248,1,262.375,18.0,yes,2,False,female
50,0,8.1583,19.0,no,0,True,male
362,0,27.75,36.0,no,2,True,male
492,0,7.8542,21.0,no,0,True,male
135,0,56.4958,28.0,no,0,True,male
158,0,13.0,24.0,no,0,False,female
677,0,31.275,4.0,no,2,False,male
58,0,7.65,25.0,no,0,True,male
401,1,86.5,16.0,yes,0,False,female
264,1,20.525,31.0,yes,1,False,female
318,0,7.8542,31.0,no,0,False,female
285,0,9.5,28.0,no,0,True,male
393,0,49.5042,71.0,no,0,True,male
56,0,14.4542,26.0,no,0,True,male
550,0,26.55,60.0,no,0,True,male
667,0,8.6625,21.0,no,0,True,male
517,0,73.5,24.0,no,0,True,male
334,1,13.0,18.0,yes,2,False,female
500,1,30.5,32.0,yes,0,True,male
26,0,10.5,66.0,no,0,True,male
683,1,164.8667,45.0,yes,1,False,female
175,1,76.2917,32.0,yes,0,False,female
489,0,14.4542,27.0,no,0,True,male
60,1,12.475,30.0,yes,0,False,female
154,1,26.0,3.0,yes,1,False,male
162,1,8.05,18.0,yes,0,True,male
245,0,24.0,30.0,no,0,True,male
159,0,9.5,28.0,no,0,True,male
358,1,19.5,13.0,yes,1,False,female
304,1,227.525,42.0,yes,0,False,female
371,0,13.0,48.0,no,0,True,male
534,0,8.05,24.5,no,0,True,male
412,1,26.0,36.0,yes,0,False,female
542,0,41.5792,25.0,no,2,True,male
615,0,7.8542,48.0,no,0,True,male
55,0,73.5,21.0,no,0,True,male
600,0,7.8958,23.0,no,0,True,male
313,1,7.7958,21.0,yes,0,True,male
169,1,21.0,35.0,yes,0,False,female
351,0,263.0,64.0,no,4,True,male
457,1,55.9,39.0,yes,0,False,female
432,0,106.425,50.0,no,0,True,male
25,0,27.7208,40.0,no,0,True,male
586,0,34.375,48.0,no,3,False,female
560,0,26.0,39.0,no,0,True,male
19,1,13.0,34.0,yes,0,True,male
483,0,8.05,35.0,no,0,True,male
255,1,164.8667,31.0,yes,2,False,female
629,0,79.2,46.0,no,0,True,male
88,0,9.825,20.0,no,0,False,female
386,1,91.0792,25.0,yes,0,True,male
352,0,10.5,31.0,no,0,True,male
525,1,7.925,20.0,yes,0,True,male
473,1,56.9292,49.0,yes,0,True,male
433,0,26.0,64.0,no,0,True,male
219,1,19.5,41.0,yes,1,False,female
407,1,26.2875,36.0,yes,0,True,male
348,1,120.0,14.0,yes,2,False,female
